---,Elapsed Time,Time.,Channel No.,---.1,CH010,CH011,CH012,CH014,CH015,CH016,CH017,CH018,CH019,CH021,CH022,CH023,CH024,CH025,CH027,CH000,CH001
889,172.667,2018/02/18 22:59:01,2018/02/18,22:59:01,56,193,48,146,16,56,93,26,-14,43,19,43,43,70,74,15.0,16.2
890,172.861,2018/02/18 23:10:41,2018/02/18,23:10:41,55,193,48,146,16,56,93,26,-14,43,19,43,43,70,74,15.0,16.2
891,173.05599999999998,2018/02/18 23:22:21,2018/02/18,23:22:21,56,193,47,146,16,57,93,26,-14,43,18,43,43,70,74,15.0,16.2
892,173.25,2018/02/18 23:34:01,2018/02/18,23:34:01,55,193,47,146,16,56,93,27,-15,43,19,43,43,70,74,15.0,16.2
893,173.44400000000002,2018/02/18 23:45:41,2018/02/18,23:45:41,56,193,48,146,16,56,93,26,-14,43,19,43,44,70,74,15.0,16.3
894,173.639,2018/02/18 23:57:21,2018/02/18,23:57:21,55,193,48,146,16,57,93,26,-14,43,19,43,44,70,75,15.0,16.3
895,173.833,2018/02/19 00:09:01,2018/02/19,00:09:01,56,193,48,146,16,56,93,27,-14,43,19,43,43,70,74,15.0,16.3
896,174.028,2018/02/19 00:20:41,2018/02/19,00:20:41,56,193,48,146,16,57,93,26,-14,43,19,43,43,70,75,15.0,16.2
897,174.222,2018/02/19 00:32:21,2018/02/19,00:32:21,56,193,48,146,16,56,93,27,-14,43,19,43,44,71,74,15.0,16.2
898,174.417,2018/02/19 00:44:01,2018/02/19,00:44:01,56,193,48,146,16,57,93,26,-14,43,19,43,43,70,75,15.0,16.2
899,174.611,2018/02/19 00:55:41,2018/02/19,00:55:41,56,193,48,146,16,56,92,27,-15,43,19,43,43,70,75,15.0,16.2
900,174.80599999999998,2018/02/19 01:07:21,2018/02/19,01:07:21,55,193,48,146,16,57,93,26,-15,43,19,43,44,71,75,15.0,16.2
901,175.0,2018/02/19 01:19:01,2018/02/19,01:19:01,56,193,48,146,16,56,93,26,-15,43,19,43,43,71,75,15.0,16.2
902,175.19400000000002,2018/02/19 01:30:41,2018/02/19,01:30:41,56,193,48,146,16,57,93,26,-14,43,19,43,43,71,74,15.0,16.2
903,175.389,2018/02/19 01:42:21,2018/02/19,01:42:21,56,193,48,146,16,57,93,27,-14,43,19,43,43,71,75,15.0,16.1
904,175.583,2018/02/19 01:54:01,2018/02/19,01:54:01,56,193,48,146,16,57,93,27,-15,43,19,42,44,71,75,15.0,16.0
905,175.778,2018/02/19 02:05:41,2018/02/19,02:05:41,55,193,48,146,16,56,93,27,-15,43,19,43,43,70,75,15.0,15.9
906,175.972,2018/02/19 02:17:21,2018/02/19,02:17:21,56,193,48,146,16,57,93,26,-15,43,19,43,43,70,75,15.0,15.9
907,176.167,2018/02/19 02:29:01,2018/02/19,02:29:01,55,193,48,146,16,57,93,26,-14,43,19,43,44,71,74,15.0,15.8
908,176.361,2018/02/19 02:40:41,2018/02/19,02:40:41,56,193,48,146,16,56,93,27,-15,43,19,43,44,71,75,15.0,15.9
909,176.55599999999998,2018/02/19 02:52:21,2018/02/19,02:52:21,56,193,48,146,16,56,93,27,-15,43,19,43,44,71,75,15.0,15.9
910,176.75,2018/02/19 03:04:01,2018/02/19,03:04:01,55,193,48,145,16,57,93,27,-15,43,19,43,43,71,75,15.0,16.0
911,176.94400000000002,2018/02/19 03:15:41,2018/02/19,03:15:41,56,193,48,145,16,57,93,27,-15,44,19,43,43,70,75,15.0,16.0
912,177.139,2018/02/19 03:27:21,2018/02/19,03:27:21,56,193,48,145,16,57,93,27,-15,43,19,43,44,71,75,15.0,16.0
913,177.333,2018/02/19 03:39:01,2018/02/19,03:39:01,55,194,48,146,16,56,93,27,-15,43,19,43,44,71,75,15.0,15.9
914,177.528,2018/02/19 03:50:41,2018/02/19,03:50:41,55,193,48,145,16,57,93,27,-15,43,19,43,43,71,75,15.0,15.9
915,177.722,2018/02/19 04:02:21,2018/02/19,04:02:21,56,193,48,146,16,57,93,26,-15,43,19,43,43,71,75,15.0,15.8
916,177.917,2018/02/19 04:14:01,2018/02/19,04:14:01,56,194,48,146,16,57,93,26,-15,43,19,43,43,71,75,15.0,15.8
917,178.111,2018/02/19 04:25:41,2018/02/19,04:25:41,56,193,47,145,16,56,93,27,-15,43,19,43,43,71,75,15.0,15.8
918,178.30599999999998,2018/02/19 04:37:21,2018/02/19,04:37:21,56,193,48,146,16,57,93,27,-15,43,19,43,44,71,75,15.0,15.8
919,178.5,2018/02/19 04:49:01,2018/02/19,04:49:01,56,193,48,146,16,57,93,26,-16,43,19,43,44,71,75,15.0,15.9
920,178.69400000000002,2018/02/19 05:00:41,2018/02/19,05:00:41,56,193,48,146,16,57,93,27,-15,43,19,43,43,71,75,15.0,16.0
921,178.889,2018/02/19 05:12:21,2018/02/19,05:12:21,56,193,48,146,16,57,94,26,-16,43,19,43,44,71,75,15.0,16.0
922,179.083,2018/02/19 05:24:01,2018/02/19,05:24:01,56,193,48,146,16,57,93,27,-16,43,19,43,43,71,75,15.0,15.9
923,179.278,2018/02/19 05:35:41,2018/02/19,05:35:41,56,194,48,146,16,57,93,27,-16,43,19,43,44,71,75,15.0,15.8
924,179.472,2018/02/19 05:47:21,2018/02/19,05:47:21,56,194,48,146,16,57,93,27,-16,43,19,43,44,71,75,15.0,15.7
925,179.667,2018/02/19 05:59:01,2018/02/19,05:59:01,56,193,48,145,16,57,93,26,-16,43,19,43,44,71,75,15.0,15.6
926,179.861,2018/02/19 06:10:41,2018/02/19,06:10:41,56,193,48,145,16,56,93,26,-15,43,19,43,43,71,75,15.0,15.5
927,180.05599999999998,2018/02/19 06:22:21,2018/02/19,06:22:21,56,194,48,146,16,57,94,27,-16,43,19,43,43,71,75,15.0,15.5
928,180.25,2018/02/19 06:34:01,2018/02/19,06:34:01,56,193,48,146,16,57,93,27,-16,43,19,43,44,71,75,15.0,15.5
929,180.44400000000002,2018/02/19 06:45:41,2018/02/19,06:45:41,55,193,48,145,16,57,93,27,-16,43,19,43,43,71,75,15.0,15.5
930,180.639,2018/02/19 06:57:21,2018/02/19,06:57:21,55,193,48,146,16,57,93,27,-17,43,19,43,44,71,75,15.0,15.6
931,180.833,2018/02/19 07:09:01,2018/02/19,07:09:01,56,193,48,146,16,56,93,26,-17,43,19,43,44,71,75,15.0,15.6
932,181.028,2018/02/19 07:20:41,2018/02/19,07:20:41,56,193,48,145,16,57,94,26,-16,43,18,43,44,71,75,15.0,15.6
933,181.222,2018/02/19 07:32:21,2018/02/19,07:32:21,56,193,48,145,16,56,93,27,-17,43,19,43,44,71,75,15.0,15.6
934,181.417,2018/02/19 07:44:01,2018/02/19,07:44:01,56,193,48,146,16,57,94,26,-17,43,19,43,44,71,75,15.0,15.6
935,181.611,2018/02/19 07:55:41,2018/02/19,07:55:41,56,194,48,146,15,57,93,27,-17,43,19,43,44,71,76,15.0,15.6
936,181.80599999999998,2018/02/19 08:07:21,2018/02/19,08:07:21,56,193,48,145,16,57,93,27,-17,44,19,43,44,71,75,15.0,15.5
937,182.0,2018/02/19 08:19:01,2018/02/19,08:19:01,56,193,48,145,16,57,94,27,-16,43,19,43,43,71,75,15.0,15.5
938,182.19400000000002,2018/02/19 08:30:41,2018/02/19,08:30:41,56,193,48,146,16,56,93,26,-17,43,19,43,43,71,75,15.0,15.5
939,182.389,2018/02/19 08:42:21,2018/02/19,08:42:21,56,193,48,146,16,57,94,27,-17,43,19,43,44,71,75,15.0,15.5
940,182.583,2018/02/19 08:54:01,2018/02/19,08:54:01,56,194,48,146,16,57,93,27,-17,43,19,43,44,71,75,15.0,15.5
941,182.778,2018/02/19 09:05:41,2018/02/19,09:05:41,56,194,48,145,16,57,94,27,-17,43,19,43,44,71,75,15.0,15.5
942,182.972,2018/02/19 09:17:21,2018/02/19,09:17:21,56,193,48,146,16,57,93,26,-17,43,19,43,44,71,75,15.0,15.5
943,183.167,2018/02/19 09:29:01,2018/02/19,09:29:01,56,194,48,146,16,57,94,27,-17,43,19,43,44,71,75,15.0,15.5
944,183.361,2018/02/19 09:40:41,2018/02/19,09:40:41,56,194,48,146,15,57,93,27,-17,43,19,43,44,71,75,15.0,15.6
945,183.55599999999998,2018/02/19 09:52:21,2018/02/19,09:52:21,56,194,48,146,16,57,93,26,-17,43,19,43,43,71,75,15.0,15.6
946,183.75,2018/02/19 10:04:01,2018/02/19,10:04:01,56,194,48,146,16,57,94,26,-17,43,19,43,43,72,75,15.0,15.7
947,183.94400000000002,2018/02/19 10:15:41,2018/02/19,10:15:41,56,193,48,146,16,57,94,26,-17,43,19,43,43,71,75,15.0,15.8
948,184.139,2018/02/19 10:27:21,2018/02/19,10:27:21,56,193,48,145,16,56,93,26,-17,43,19,43,44,71,76,15.0,15.9
949,184.333,2018/02/19 10:39:01,2018/02/19,10:39:01,56,193,48,145,16,57,94,26,-17,43,19,43,44,71,75,15.0,16.0
950,184.528,2018/02/19 10:50:41,2018/02/19,10:50:41,56,193,48,145,16,57,94,26,-17,44,19,43,43,71,76,15.0,16.1
951,184.722,2018/02/19 11:02:21,2018/02/19,11:02:21,56,194,48,145,16,57,94,26,-17,43,19,43,43,71,75,15.0,16.0
952,184.917,2018/02/19 11:14:01,2018/02/19,11:14:01,56,194,48,146,16,57,93,26,-17,43,19,43,44,72,75,15.0,15.9
953,185.111,2018/02/19 11:25:41,2018/02/19,11:25:41,56,194,48,146,16,57,94,27,-17,43,19,43,43,71,75,15.0,15.9
954,185.30599999999998,2018/02/19 11:37:21,2018/02/19,11:37:21,56,193,48,146,16,57,94,26,-17,43,19,43,44,71,76,15.0,16.0
955,185.5,2018/02/19 11:49:01,2018/02/19,11:49:01,56,193,48,146,16,57,94,27,-17,43,19,43,44,71,75,15.0,16.0
956,185.69400000000002,2018/02/19 12:00:41,2018/02/19,12:00:41,56,194,48,146,16,57,94,27,-17,44,19,43,44,71,75,15.0,16.1
957,185.889,2018/02/19 12:12:21,2018/02/19,12:12:21,56,194,48,146,16,57,94,26,-17,43,18,43,44,72,75,15.0,16.2
958,186.083,2018/02/19 12:24:01,2018/02/19,12:24:01,56,193,48,146,16,57,94,26,-17,43,19,43,43,71,76,15.0,16.2
959,186.278,2018/02/19 12:35:41,2018/02/19,12:35:41,56,193,48,146,16,57,94,27,-17,43,19,43,44,71,75,15.0,16.1
960,186.472,2018/02/19 12:47:21,2018/02/19,12:47:21,56,194,48,146,16,57,94,27,-17,43,19,43,43,72,75,15.0,16.0
961,186.667,2018/02/19 12:59:01,2018/02/19,12:59:01,56,193,48,146,16,57,94,26,-17,43,18,43,44,71,75,15.0,16.0
962,186.861,2018/02/19 13:10:41,2018/02/19,13:10:41,56,193,48,146,16,57,94,26,-17,43,19,43,44,71,75,15.0,16.0
963,187.05599999999998,2018/02/19 13:22:21,2018/02/19,13:22:21,56,194,48,146,16,57,94,27,-17,43,19,43,44,71,76,15.0,16.0
964,187.25,2018/02/19 13:34:01,2018/02/19,13:34:01,56,193,48,146,16,57,94,26,-17,43,19,43,43,72,75,15.0,16.1
965,187.44400000000002,2018/02/19 13:45:41,2018/02/19,13:45:41,56,194,48,145,16,56,94,26,-17,43,19,43,44,71,75,15.0,16.0
966,187.639,2018/02/19 13:57:21,2018/02/19,13:57:21,56,194,48,146,16,57,94,26,-17,43,19,43,43,71,75,15.0,16.0
967,187.833,2018/02/19 14:09:01,2018/02/19,14:09:01,56,194,48,145,16,57,94,27,-17,43,19,43,44,71,75,15.0,16.1
968,188.028,2018/02/19 14:20:41,2018/02/19,14:20:41,56,193,48,145,16,57,94,26,-17,43,19,43,44,71,76,15.0,16.1
969,188.222,2018/02/19 14:32:21,2018/02/19,14:32:21,56,194,48,146,16,57,94,27,-17,43,19,43,44,72,75,15.0,16.1
970,188.417,2018/02/19 14:44:01,2018/02/19,14:44:01,57,194,48,146,16,57,94,27,-17,43,19,43,44,71,76,15.0,16.2
971,188.611,2018/02/19 14:55:41,2018/02/19,14:55:41,56,194,48,146,16,57,94,27,-17,43,18,43,44,72,76,15.0,16.4
972,188.80599999999998,2018/02/19 15:07:21,2018/02/19,15:07:21,55,194,48,146,16,57,94,26,-17,44,19,43,44,71,76,15.0,16.4
973,189.0,2018/02/19 15:19:01,2018/02/19,15:19:01,56,194,48,146,16,57,94,26,-17,43,18,43,44,71,75,15.0,16.5
974,189.19400000000002,2018/02/19 15:30:41,2018/02/19,15:30:41,56,193,48,146,16,57,94,27,-17,43,19,43,44,72,76,15.0,16.5
975,189.389,2018/02/19 15:42:21,2018/02/19,15:42:21,56,194,48,146,16,57,94,26,-17,43,19,43,44,72,76,15.0,16.5
976,189.583,2018/02/19 15:54:01,2018/02/19,15:54:01,56,194,48,146,16,57,94,27,-17,43,19,43,44,72,75,15.0,16.6
977,189.778,2018/02/19 16:05:41,2018/02/19,16:05:41,56,194,48,146,15,56,94,26,-17,43,19,43,44,72,76,15.0,16.6
978,189.972,2018/02/19 16:17:21,2018/02/19,16:17:21,56,194,48,146,16,57,94,27,-17,43,19,43,43,72,76,15.0,16.5
979,190.167,2018/02/19 16:29:01,2018/02/19,16:29:01,56,194,48,145,16,57,94,26,-17,43,19,43,44,71,76,15.0,16.4
980,190.361,2018/02/19 16:40:41,2018/02/19,16:40:41,56,194,48,145,16,57,94,27,-17,43,19,43,43,72,76,15.0,16.4
981,190.55599999999998,2018/02/19 16:52:21,2018/02/19,16:52:21,56,194,48,145,16,57,94,26,-17,43,19,43,43,72,76,15.0,16.4
982,190.75,2018/02/19 17:04:01,2018/02/19,17:04:01,56,194,48,146,16,57,94,26,-17,43,19,43,44,72,76,15.0,16.4
983,190.94400000000002,2018/02/19 17:15:41,2018/02/19,17:15:41,56,194,48,146,15,57,94,27,-17,43,19,43,44,72,76,15.0,16.4
984,191.139,2018/02/19 17:27:21,2018/02/19,17:27:21,56,194,48,145,16,57,94,26,-17,44,19,43,44,72,76,15.0,16.5
985,191.333,2018/02/19 17:39:01,2018/02/19,17:39:01,56,194,48,146,16,57,94,27,-17,43,19,43,44,71,75,15.0,16.5
986,191.528,2018/02/19 17:50:41,2018/02/19,17:50:41,57,194,48,145,16,57,94,26,-18,43,19,43,43,71,76,15.0,16.4
987,191.722,2018/02/19 18:02:21,2018/02/19,18:02:21,56,194,48,145,16,57,94,27,-17,44,18,43,43,72,76,15.0,16.4
988,191.917,2018/02/19 18:14:01,2018/02/19,18:14:01,56,194,47,146,16,57,94,27,-17,43,18,43,43,72,76,15.0,16.4
989,192.111,2018/02/19 18:25:41,2018/02/19,18:25:41,56,194,48,146,15,57,94,27,-17,43,19,43,44,72,76,15.0,16.4
990,192.30599999999998,2018/02/19 18:37:21,2018/02/19,18:37:21,56,194,48,146,16,57,94,26,-17,43,18,43,44,72,76,15.0,16.4
991,192.5,2018/02/19 18:49:01,2018/02/19,18:49:01,56,194,48,146,16,57,94,26,-17,43,18,43,44,71,76,15.0,16.4
992,192.69400000000002,2018/02/19 19:00:41,2018/02/19,19:00:41,56,194,48,146,16,57,94,26,-17,43,19,43,44,72,76,15.0,16.4
993,192.889,2018/02/19 19:12:21,2018/02/19,19:12:21,56,194,48,145,16,57,94,26,-17,43,19,43,44,72,76,15.0,16.3
994,193.083,2018/02/19 19:24:01,2018/02/19,19:24:01,56,194,47,146,16,57,95,27,-17,44,18,43,44,72,76,15.0,16.2
995,193.278,2018/02/19 19:35:41,2018/02/19,19:35:41,56,194,48,146,16,57,94,27,-17,43,19,43,44,72,76,15.0,16.2
996,193.472,2018/02/19 19:47:21,2018/02/19,19:47:21,56,194,48,145,16,57,94,27,-17,43,18,43,44,72,76,15.0,16.2
997,193.667,2018/02/19 19:59:01,2018/02/19,19:59:01,56,194,48,146,16,57,94,27,-17,44,19,43,44,72,76,15.0,16.2
998,193.861,2018/02/19 20:10:41,2018/02/19,20:10:41,56,194,48,145,15,57,94,26,-17,43,19,43,43,71,76,15.0,16.2
999,194.05599999999998,2018/02/19 20:22:21,2018/02/19,20:22:21,56,194,48,145,16,57,94,26,-17,43,18,43,43,72,76,15.0,16.2
1000,194.25,2018/02/19 20:34:01,2018/02/19,20:34:01,56,194,48,145,16,57,94,26,-17,44,18,43,43,72,76,15.0,16.1
1001,194.44400000000002,2018/02/19 20:45:41,2018/02/19,20:45:41,57,194,48,145,15,57,94,26,-17,43,19,43,44,72,76,15.0,16.1
1002,194.639,2018/02/19 20:57:21,2018/02/19,20:57:21,56,194,48,146,15,57,94,27,-17,43,19,43,44,72,76,15.0,16.0
1003,194.833,2018/02/19 21:09:01,2018/02/19,21:09:01,56,194,48,145,16,57,94,26,-17,44,18,43,44,72,76,15.0,15.9
1004,195.028,2018/02/19 21:20:41,2018/02/19,21:20:41,56,194,48,146,16,57,94,26,-17,43,19,43,43,72,76,15.0,15.8
1005,195.222,2018/02/19 21:32:21,2018/02/19,21:32:21,56,194,48,146,15,57,94,27,-17,43,18,43,44,72,76,15.0,15.8
1006,195.417,2018/02/19 21:44:01,2018/02/19,21:44:01,56,194,48,145,16,57,94,27,-17,43,18,43,44,72,76,15.0,15.9
1007,195.611,2018/02/19 21:55:41,2018/02/19,21:55:41,56,194,48,145,16,57,94,26,-17,43,18,43,44,72,76,15.0,15.9
1008,195.80599999999998,2018/02/19 22:07:21,2018/02/19,22:07:21,56,194,48,146,15,57,94,27,-17,44,18,43,43,72,76,15.0,16.0
1009,196.0,2018/02/19 22:19:01,2018/02/19,22:19:01,56,193,48,145,15,57,94,26,-17,43,18,43,44,72,76,15.0,16.0
1010,196.19400000000002,2018/02/19 22:30:41,2018/02/19,22:30:41,56,194,48,145,15,57,94,26,-17,43,19,43,44,72,77,15.0,16.1
1011,196.389,2018/02/19 22:42:21,2018/02/19,22:42:21,56,194,48,146,15,57,94,26,-17,43,19,43,43,72,76,15.0,16.1
1012,196.583,2018/02/19 22:54:01,2018/02/19,22:54:01,56,194,48,146,15,57,95,26,-17,43,18,43,43,72,76,15.0,16.0
1013,196.778,2018/02/19 23:05:41,2018/02/19,23:05:41,56,194,48,145,15,57,94,27,-18,43,18,43,44,72,76,15.0,15.9
1014,196.972,2018/02/19 23:17:21,2018/02/19,23:17:21,56,194,48,145,15,57,95,26,-18,44,19,43,44,72,76,15.0,15.8
1015,197.167,2018/02/19 23:29:01,2018/02/19,23:29:01,56,194,48,145,16,57,95,26,-17,43,18,43,43,72,76,15.0,15.7
1016,197.361,2018/02/19 23:40:41,2018/02/19,23:40:41,56,194,48,145,15,57,94,27,-17,43,18,43,44,72,76,15.0,15.7
1017,197.55599999999998,2018/02/19 23:52:21,2018/02/19,23:52:21,56,194,48,145,15,57,95,26,-18,43,19,43,44,72,77,15.0,15.7
1018,197.75,2018/02/20 00:04:01,2018/02/20,00:04:01,56,194,48,145,15,57,94,27,-17,43,18,43,43,72,76,15.0,15.7
1019,197.94400000000002,2018/02/20 00:15:41,2018/02/20,00:15:41,56,194,48,146,16,57,94,26,-18,43,18,43,43,72,76,15.0,15.8
1020,198.139,2018/02/20 00:27:21,2018/02/20,00:27:21,56,194,48,146,15,57,95,26,-17,43,18,43,43,72,76,15.0,15.9
1021,198.333,2018/02/20 00:39:01,2018/02/20,00:39:01,56,194,48,145,15,57,94,26,-18,43,18,43,44,72,76,15.0,15.9
1022,198.528,2018/02/20 00:50:41,2018/02/20,00:50:41,56,194,48,145,15,57,94,26,-17,43,18,43,44,72,76,15.0,16.0
1023,198.722,2018/02/20 01:02:21,2018/02/20,01:02:21,56,194,48,145,15,57,95,26,-18,43,18,43,43,72,76,15.0,16.0
1024,198.917,2018/02/20 01:14:01,2018/02/20,01:14:01,56,194,48,146,15,57,95,26,-18,44,18,43,44,72,76,15.0,16.1
1025,199.111,2018/02/20 01:25:41,2018/02/20,01:25:41,56,194,48,145,15,57,94,26,-17,44,18,43,44,72,77,15.0,16.1
1026,199.30599999999998,2018/02/20 01:37:21,2018/02/20,01:37:21,56,194,48,145,15,57,94,26,-17,44,18,43,44,72,76,15.0,16.0
1027,199.5,2018/02/20 01:49:01,2018/02/20,01:49:01,56,194,49,146,15,57,95,26,-17,43,18,43,44,72,76,15.0,15.9
1028,199.69400000000002,2018/02/20 02:00:41,2018/02/20,02:00:41,56,194,48,145,15,57,94,26,-18,43,18,44,44,72,76,15.0,15.8
1029,199.889,2018/02/20 02:12:21,2018/02/20,02:12:21,56,194,48,145,15,57,94,26,-17,43,18,43,44,72,76,15.0,15.7
1030,200.083,2018/02/20 02:24:01,2018/02/20,02:24:01,56,194,48,145,16,57,95,26,-18,43,18,43,44,72,76,15.0,15.6
1031,200.278,2018/02/20 02:35:41,2018/02/20,02:35:41,56,194,48,145,15,57,94,26,-18,43,18,43,44,72,77,15.0,15.5
1032,200.472,2018/02/20 02:47:21,2018/02/20,02:47:21,56,194,48,145,15,57,95,27,-18,44,18,43,44,72,76,15.0,15.4
1033,200.667,2018/02/20 02:59:01,2018/02/20,02:59:01,56,194,48,145,15,57,95,26,-17,43,18,43,44,72,76,15.0,15.3
1034,200.861,2018/02/20 03:10:41,2018/02/20,03:10:41,56,194,48,145,15,57,95,27,-17,44,19,43,44,72,77,15.0,15.2
1035,201.05599999999998,2018/02/20 03:22:21,2018/02/20,03:22:21,56,194,48,145,15,57,95,26,-18,43,18,43,44,72,77,15.0,15.0
1036,201.25,2018/02/20 03:34:01,2018/02/20,03:34:01,56,194,48,145,15,57,95,26,-18,43,18,43,44,72,76,15.0,14.8
1037,201.44400000000002,2018/02/20 03:45:41,2018/02/20,03:45:41,56,194,48,145,15,57,95,26,-19,44,18,43,43,72,76,15.0,14.6
1038,201.639,2018/02/20 03:57:21,2018/02/20,03:57:21,56,194,48,145,15,57,94,26,-20,43,18,43,44,72,77,15.0,14.4
1039,201.833,2018/02/20 04:09:01,2018/02/20,04:09:01,56,194,48,145,15,57,95,26,-21,43,18,43,44,72,76,15.0,14.3
1040,202.028,2018/02/20 04:20:41,2018/02/20,04:20:41,56,195,48,145,16,57,95,27,-22,43,18,43,44,72,76,15.0,14.2
1041,202.222,2018/02/20 04:32:21,2018/02/20,04:32:21,56,195,48,145,15,57,95,26,-23,43,18,43,43,72,76,15.0,14.1
1042,202.417,2018/02/20 04:44:01,2018/02/20,04:44:01,56,194,48,145,15,57,95,26,-24,43,18,43,43,72,76,15.0,14.0
1043,202.611,2018/02/20 04:55:41,2018/02/20,04:55:41,56,194,48,145,15,57,94,26,-24,44,18,43,44,72,76,15.0,14.2
1044,202.80599999999998,2018/02/20 05:07:21,2018/02/20,05:07:21,56,194,48,145,15,58,95,26,-24,43,18,43,44,73,76,15.0,13.9
1045,203.0,2018/02/20 05:19:01,2018/02/20,05:19:01,56,194,48,145,15,57,95,26,-25,44,19,43,44,72,77,15.0,14.1
1046,203.19400000000002,2018/02/20 05:30:41,2018/02/20,05:30:41,56,195,48,145,16,57,94,27,-25,43,18,43,44,72,76,15.0,13.9
1047,203.389,2018/02/20 05:42:21,2018/02/20,05:42:21,56,194,48,145,15,57,94,26,-26,43,19,43,44,72,77,15.0,13.8
1048,203.583,2018/02/20 05:54:01,2018/02/20,05:54:01,56,194,48,145,15,57,94,26,-25,43,18,43,44,72,77,15.0,13.9
1049,203.778,2018/02/20 06:05:41,2018/02/20,06:05:41,56,194,48,145,15,57,94,26,-26,43,18,43,44,72,77,15.0,13.6
1050,203.972,2018/02/20 06:17:21,2018/02/20,06:17:21,56,194,48,145,15,57,95,26,-26,43,18,43,44,72,76,15.0,13.5
1051,204.167,2018/02/20 06:29:01,2018/02/20,06:29:01,56,194,48,145,15,57,95,26,-27,44,18,43,43,72,77,15.0,13.6
1052,204.361,2018/02/20 06:40:41,2018/02/20,06:40:41,56,194,48,144,15,57,95,26,-26,43,18,43,43,72,76,15.0,13.4
1053,204.55599999999998,2018/02/20 06:52:21,2018/02/20,06:52:21,56,194,48,145,15,57,95,26,-27,43,18,43,43,72,77,15.0,13.3
1054,204.75,2018/02/20 07:04:01,2018/02/20,07:04:01,56,194,48,145,15,57,94,26,-27,44,18,43,43,72,77,15.0,13.5
1055,204.94400000000002,2018/02/20 07:15:41,2018/02/20,07:15:41,56,194,48,145,15,57,95,26,-27,44,18,43,44,72,77,15.0,13.3
1056,205.139,2018/02/20 07:27:21,2018/02/20,07:27:21,56,194,48,144,15,57,95,26,-27,44,18,43,44,72,77,15.0,13.2
1057,205.333,2018/02/20 07:39:01,2018/02/20,07:39:01,56,194,48,145,15,57,95,26,-27,43,18,43,44,73,76,15.0,13.4
1058,205.528,2018/02/20 07:50:41,2018/02/20,07:50:41,56,195,48,144,15,57,95,26,-28,43,18,43,44,72,76,15.0,13.3
1059,205.722,2018/02/20 08:02:21,2018/02/20,08:02:21,56,194,48,145,15,57,95,26,-28,43,18,43,43,72,77,15.0,13.2
1060,205.917,2018/02/20 08:14:01,2018/02/20,08:14:01,56,194,48,145,15,57,95,26,-27,44,18,43,44,72,77,15.0,13.5
1061,206.111,2018/02/20 08:25:41,2018/02/20,08:25:41,56,194,48,145,15,57,95,26,-28,44,18,43,43,72,77,15.0,13.4
1062,206.30599999999998,2018/02/20 08:37:21,2018/02/20,08:37:21,56,194,48,145,15,57,94,26,-28,43,18,43,44,72,77,15.0,13.3
1063,206.5,2018/02/20 08:49:01,2018/02/20,08:49:01,56,194,48,145,15,57,94,27,-28,43,18,43,43,72,77,15.0,13.7
1064,206.69400000000002,2018/02/20 09:00:41,2018/02/20,09:00:41,56,195,48,145,15,57,95,26,-29,44,18,43,43,72,77,15.0,13.6
1065,206.889,2018/02/20 09:12:21,2018/02/20,09:12:21,56,194,48,145,15,57,95,27,-28,43,18,43,43,73,77,15.0,13.5
1066,207.083,2018/02/20 09:24:01,2018/02/20,09:24:01,56,194,48,145,15,57,95,26,-28,43,18,43,44,72,77,15.0,14.2
1067,207.278,2018/02/20 09:35:41,2018/02/20,09:35:41,56,194,48,145,16,58,95,26,-28,43,18,43,44,73,77,15.0,15.0
1068,207.472,2018/02/20 09:47:21,2018/02/20,09:47:21,56,194,48,145,15,57,95,26,-28,43,18,43,44,73,77,15.0,15.9
1069,207.667,2018/02/20 09:59:01,2018/02/20,09:59:01,57,194,48,146,16,58,95,26,-28,44,18,43,44,73,77,15.0,16.7
1070,207.861,2018/02/20 10:10:41,2018/02/20,10:10:41,56,194,48,146,16,57,95,26,-27,44,18,43,44,73,77,15.0,17.6
1071,208.05599999999998,2018/02/20 10:22:21,2018/02/20,10:22:21,56,194,49,146,16,58,95,26,-27,44,18,44,44,73,77,15.0,18.5
1072,208.25,2018/02/20 10:34:01,2018/02/20,10:34:01,57,195,49,146,15,57,96,27,-27,44,18,44,45,73,77,15.0,19.3
1073,208.44400000000002,2018/02/20 10:45:41,2018/02/20,10:45:41,57,194,49,147,16,58,95,27,-26,44,18,44,44,74,77,15.0,20.1
1074,208.639,2018/02/20 10:57:21,2018/02/20,10:57:21,57,194,49,147,16,58,95,27,-25,44,18,44,45,73,78,15.0,20.9
1075,208.833,2018/02/20 11:09:01,2018/02/20,11:09:01,57,195,49,147,16,58,96,27,-25,44,18,44,45,73,78,15.0,21.5
1076,209.028,2018/02/20 11:20:41,2018/02/20,11:20:41,58,195,49,147,16,58,96,27,-25,44,19,45,45,74,77,15.0,22.0
1077,209.222,2018/02/20 11:32:21,2018/02/20,11:32:21,57,195,50,148,16,59,96,27,-24,44,19,45,45,74,78,14.9,22.4
1078,209.417,2018/02/20 11:44:01,2018/02/20,11:44:01,58,195,50,148,16,59,96,28,-23,44,19,45,45,74,78,14.9,22.6
1079,209.611,2018/02/20 11:55:41,2018/02/20,11:55:41,58,196,50,148,17,59,96,27,-22,45,19,45,45,75,78,14.9,22.9
1080,209.80599999999998,2018/02/20 12:07:21,2018/02/20,12:07:21,58,195,50,148,17,59,96,28,-19,45,19,45,45,75,78,14.9,23.2
